,ranking,titulo,autor,precio_euros,puntuacion,num_reviews,portada
61,62,Este dolor no es mío. Identifica y resuelve los traumas familiares heredados (Psicoemoción),Mark Wolynn,"13,30 ","4,6",1.323,"https://images-eu.ssl-images-amazon.com/images/I/51ukfuUytNL._AC_UL300_SR300,200_.jpg"
62,63,CONSTITUCIÓN ESPAÑOLA DE 1978 PARA OPOSITORES: Ordenada para una memorización rápida respetando su literalidad,Ricardo José Durán Rodríguez,"4,94 ","4,6",1.011,"https://images-eu.ssl-images-amazon.com/images/I/71bb2H8r1sS._AC_UL300_SR300,200_.jpg"
63,64,La revolución de la glucosa: Equilibra tus niveles de glucosa y cambiarás tu salud y tu vida (Salud natural),Jessie Inchauspé,"14,05 ","4,6",846,"https://images-eu.ssl-images-amazon.com/images/I/71Fi-KkUTiL._AC_UL300_SR300,200_.jpg"
64,65,Tu cuerpo es tuyo (9ªED) (ESPAÑOL SOMOS8),Lucía Serrano,"14,15 ","4,7",309,"https://images-eu.ssl-images-amazon.com/images/I/517a7GatK2L._AC_UL300_SR300,200_.jpg"
65,66,Pokémon. Aventuras para colorear (Colección Pokémon),The Pokémon Company The Pokémon Company,"5,65 ","4,8",130,"https://images-eu.ssl-images-amazon.com/images/I/9171w6+ef7L._AC_UL300_SR300,200_.jpg"
66,67,Fuego y Sangre (Canción de hielo y fuego): 300 años antes de Juego de Tronos. Historia de los Targaryen,George R.R. Martin,"14,20 ","4,5",1.749,"https://images-eu.ssl-images-amazon.com/images/I/919HMabowBL._AC_UL300_SR300,200_.jpg"
67,68,Unicornia 1 - Un lío con brilli-brilli,Ana Punset,"9,45 ","4,8",97,"https://images-eu.ssl-images-amazon.com/images/I/814qiWZf+BL._AC_UL300_SR300,200_.jpg"
68,69,El monstruo de colores (edición pop-up) (POP UP Cuentos flamboyant) Edición en Español,Anna Llenas Serra,"20,60 ","4,9",2.993,"https://images-eu.ssl-images-amazon.com/images/I/51FzgcVpu4L._AC_UL300_SR300,200_.jpg"
69,70,PREMIO EDEBÉ 2015: Mentira: 71 (Periscopio),Care Santos,"2,99 ","4,6",1.721,"https://images-eu.ssl-images-amazon.com/images/I/91rhAHZkAeL._AC_UL300_SR300,200_.jpg"
70,71,LF 22: El misterio del mundial en África (Los Futbolísimos),Roberto Santiago,"12,30 ","4,5",12,"https://images-eu.ssl-images-amazon.com/images/I/91zA8K26rdL._AC_UL300_SR300,200_.jpg"
71,72,Nostalgia Milenial: Sobreviviré (Random Cómics),Nostalgia milenial,"18,95 ","5,0",1,"https://images-eu.ssl-images-amazon.com/images/I/71B9HOaW+pL._AC_UL300_SR300,200_.jpg"
72,73,El Pollo Pepe + muñeco (El pollo Pepe y sus amigos),Nick Denchfield,"16,15 ","4,8",1.579,"https://images-eu.ssl-images-amazon.com/images/I/81jInBuZVAL._AC_UL300_SR300,200_.jpg"
73,74,Psicología punk: Contra el pensamiento positivo y naif (Libro práctico),Victor Amat,"18,90 ","4,8",47,"https://images-eu.ssl-images-amazon.com/images/I/71q3PpfnaHL._AC_UL300_SR300,200_.jpg"
74,75,Agenda anual día página 2023 La Vecina Rubia (TANTANFAN),La Vecina Rubia,"22,75 ","4,2",5,"https://images-eu.ssl-images-amazon.com/images/I/819x33V5ApL._AC_UL300_SR300,200_.jpg"
